# x_index original_841_index pi_of_i y_family squared_error euclidean_error order_rank
287 287 521 M2 0.00027659870715637396 0.016631256932546436 148
288 288 103 M1 0.0036761707883313324 0.060631433995340503 556
289 289 98 M1 0.00019880555635688071 0.014099842423122349 100
290 290 793 M2 0.00026654362684911889 0.016326163874257751 137
291 291 185 M1 0.015151180002771453 0.12309012959117174 684
292 292 153 M1 0.01715181987414318 0.13096495666453367 716
293 293 157 M1 0.00031269713161595275 0.017683244374716783 177
294 294 591 M2 0.0019490692838876932 0.044148264789091014 504
295 295 172 M1 0.00030455427385490572 0.017451483428491277 169
296 296 659 M2 0.010414728404686052 0.10205257666852931 632
297 297 816 M2 0.00013826757188960438 0.011758723225316785 66
298 298 278 M1 0.010480443079784647 0.10237403518365702 633
299 299 614 M2 0.00060689395309851087 0.024635217740026388 379
300 300 102 M1 0.0038575369567240827 0.062109073062831026 560
301 301 737 M2 0.0002491810089743773 0.015785468284925136 125
302 302 190 M1 0.0006913018982937345 0.026292620605290272 407
303 303 710 M2 0.00046287404244103219 0.021514507720164833 284
304 304 478 M2 0.0056955075508095558 0.075468586516573608 586
305 305 3 E1 5.416807716808155e-05 0.007359896546017583 26
306 306 537 M2 0.0011229278655520438 0.033510115868973712 460
307 307 734 M2 0.0282067077252715 0.16794852701131827 787
308 308 26 E2 7.795769583032279e-05 0.0088293655395120432 45
309 309 99 M1 0.0042383081104633907 0.065102289594632462 568
310 310 611 M2 0.00072435964486147135 0.026913930312413892 417
311 311 275 M1 0.0010507390019717522 0.032415104534333251 453
312 312 746 M2 0.00035313626291326976 0.018791920149715136 208
313 313 783 M2 0.00020380872971492611 0.014276159487583701 101
314 314 725 M2 0.00046178847659328971 0.021489264217122227 283
315 315 761 M2 0.00029149984591305897 0.0170733665664701 157
316 316 558 M2 0.004131351331360656 0.064275588922705768 566
317 317 593 M2 0.0035267813699348129 0.059386710381488662 554
318 318 352 M1 0.00020538384427264762 0.01433121921793982 103
319 319 651 M2 0.0038827721980221092 0.062311894514788337 561
320 320 424 M1 0.022542291934291536 0.15014090693176038 766
321 321 417 M1 0.0071826634468474693 0.084750595554529698 597
322 322 654 M2 0.00050757697385372111 0.02252946900958212 320
323 323 159 M1 0.0027965821138586917 0.052882720371201515 533
324 324 596 M2 0.00031294739477859095 0.017690319239024234 178
325 325 412 M1 0.00048219721012781117 0.021958989278375522 307
326 326 163 M1 0.00046814443654886269 0.021636645686170089 294
327 327 724 M2 0.0017412868221254986 0.041728728978073351 491
328 328 38 E2 3.7220933519996845e-05 0.0061008961243408204 12
329 329 476 M2 0.00026871145497451172 0.016392420656343335 141
330 330 701 M2 0.00027199421309909871 0.016492247060334097 143
331 331 337 M1 0.033157931540881626 0.18209319465834417 796
332 332 413 M1 0.00042634815102308245 0.020648199704165069 253
333 333 141 M1 0.010106040944229807 0.10052880653936865 629
334 334 823 E3 0.25659325565466057 0.50655034858803583 820
335 335 784 M2 0.00047099105578656897 0.021702328349432209 298
336 336 147 M1 0.014606660884494797 0.12085801952909371 670
337 337 150 M1 0.015080866803771839 0.1228041807259502 681
338 338 226 M1 0.00046732609681891563 0.021617726448887164 291
339 339 483 M2 0.00044202400406049723 0.021024366912240123 268
340 340 243 M1 0.022455227658760554 0.1498506845455187 765
341 341 764 M2 0.00035303810135410378 0.018789308165925209 207
342 342 584 M2 0.00022360832052600719 0.014953538729210795 115
343 343 319 M1 0.012108850357771081 0.1100402215454471 644
344 344 519 M2 0.00032696053632602705 0.018082050114022665 186
345 345 715 M2 0.00029943009173478996 0.017304048420378103 161
346 346 373 M1 0.00058221638800293662 0.024129160532495461 371
347 347 577 M2 0.00024707549722007563 0.015718635348530598 123
348 348 669 M2 0.047926261033117555 0.21892067292313341 816
349 349 316 M1 0.0015600755485792961 0.039497791692438909 483
350 350 776 M2 0.0020514179849143391 0.045292582007590815 508
351 351 396 M1 0.0009526501916267315 0.030865031858508286 444
352 352 712 M2 0.00051233774094635828 0.0226348788586632 326
353 353 705 M2 0.00054633039225638572 0.023373711563557588 347
354 354 397 M1 0.00034313653213726271 0.018523944831953659 195
355 355 769 M2 0.00011381520220704224 0.01066842079255605 58
356 356 813 M2 5.7098232765526134e-05 0.0075563372585880613 31
357 357 668 M2 0.0027946845319872906 0.052864775909742499 531
358 358 580 M2 0.0030479567178437195 0.055208302979205218 544
359 359 372 M1 0.0010510578255241521 0.032420021985250909 454
360 360 616 M2 0.0046610656853544978 0.068271997812825849 576
361 361 565 M2 0.00013613790748001216 0.011667815025959751 64
362 362 763 M2 0.00043076720821017445 0.020754932141786791 260
363 363 54 M1 0.0015483297052046783 0.039348820887094932 482
364 364 114 M1 0.00027783398714722833 0.016668352862452496 149
365 365 134 M1 0.014908856744917218 0.12210182940856053 680
366 366 222 M1 0.00022912385046544169 0.015136837531844017 116
367 367 748 M2 0.00044066096741574089 0.020991926243576146 265
